"","Symbol","X.tax_id","GeneID","LocusTag","Synonyms","dbXrefs","chromosome","map_location","description","type_of_gene","Symbol_from_nomenclature_authority","Full_name_from_nomenclature_authority","Nomenclature_status","Other_designations","Modification_date","Feature_type","H1975_Veh_vs_H1975_C36","H3255_Veh_vs_H3255_C36","H820_Veh_vs_H820_E07","H1975_Veh_vs_H1975_E07","H3255_E07_vs_H3255_C36","H820_Veh_vs_H820_C36","H820_E07_vs_H820_C36","H3255_Veh_vs_H3255_E07","A549_E07_vs_A549_C36","H1975_E07_vs_H1975_C36","A549_Veh_vs_A549_E07","A549_Veh_vs_A549_C36"
"37519","TRIM34",9606,53840,"-","IFP1|RNF21","MIM:605684|HGNC:HGNC:10063|Ensembl:ENSG00000258659|AllianceGenome:HGNC:10063","11","11p15.4","tripartite motif containing 34","protein-coding","TRIM34","tripartite motif containing 34","O","E3 ubiquitin-protein ligase TRIM34|interferon-responsive finger protein 1|ring finger protein 21, interferon-responsive",20231015,"-",0.131681,-0.136243,-0.00730329,-0.0754677,0.1357,0.124197,0.130304,-0.267344,0.0619666,0.209772,-0.0320166,0.0298152
"37520","TRIM35",9606,23087,"-","HLS5|MAIR","MIM:617007|HGNC:HGNC:16285|Ensembl:ENSG00000104228|AllianceGenome:HGNC:16285","8","8p21.2","tripartite motif containing 35","protein-coding","TRIM35","tripartite motif containing 35","O","E3 ubiquitin-protein ligase TRIM35|hemopoietic lineage switch protein 5|tripartite motif-containing protein 35",20231113,"-",-0.132182,0.0563707,-0.0334811999999999,0.0540994,0.163344,-0.0428341999999999,-0.0105257,-0.102381,-0.0573081,-0.183452,-0.101026,-0.158561
"37521","TRIM36",9606,55521,"-","ANPH|ANPH1|HAPRIN|RBCC728|RNF98","MIM:609317|HGNC:HGNC:16280|Ensembl:ENSG00000152503|AllianceGenome:HGNC:16280","5","5q22.3","tripartite motif containing 36","protein-coding","TRIM36","tripartite motif containing 36","O","E3 ubiquitin-protein ligase TRIM36|RING finger protein 98|RING-type E3 ubiquitin transferase TRIM36|tripartite motif protein 36|tripartite motif-containing protein 36|zinc-binding protein Rbcc728",20231010,"-",0.0255051,0.0182807,0.178308,0.211417,0.273406,0.239951,0.0606486,-0.250575,0.170195,-0.183342,-0.127775,0.0423998
"37522","TRIM37",9606,4591,"-","MUL|POB1|TEF3","MIM:605073|HGNC:HGNC:7523|Ensembl:ENSG00000108395|AllianceGenome:HGNC:7523","17","17q22","tripartite motif containing 37","protein-coding","TRIM37","tripartite motif containing 37","O","E3 ubiquitin-protein ligase TRIM37|RING-B-box-coiled-coil protein|RING-type E3 ubiquitin transferase TRIM37|mulibrey nanism protein",20231015,"-",0.0375448,-0.0352394,-0.0693925,0.10012,-0.0501466,-0.103871,-0.0356354,0.0194425,-0.00322721,-0.059925,-0.0697338,-0.0732911
"37523","TRIM38",9606,10475,"-","RNF15|RORET","HGNC:HGNC:10059|Ensembl:ENSG00000112343|AllianceGenome:HGNC:10059","6","6p22.2","tripartite motif containing 38","protein-coding","TRIM38","tripartite motif containing 38","O","E3 ubiquitin-protein ligase TRIM38|RING-type E3 ubiquitin transferase TRIM38|Ro/SSA ribonucleoprotein homolog|ring finger protein 15|tripartite motif-containing protein 38|zinc finger protein RoRet",20231015,"-",0.037136,-0.0851438,0.0566978,-0.127866,-0.151616,0.118914,0.0610585,0.0710793,-0.0801282,0.167634,-0.196171,-0.276362
"37524","TRIM39-RPP21",9606,202658,"-","TRIM39R","HGNC:HGNC:38845|Ensembl:ENSG00000248167|AllianceGenome:HGNC:38845","6","6p22.1","TRIM39-RPP21 readthrough","protein-coding","TRIM39-RPP21","TRIM39-RPP21 readthrough","O","TRIM39-RPP21 protein|Rpp21 domain-containing TRIM protein|TRIM39-RPP21 read-through transcript",20231108,"-",0,-0.0116246598124348,0,0,-0.0117396741081784,0,0,0,0,0,0,0
"37525","TRIM4",9606,89122,"-","RNF87","HGNC:HGNC:16275|Ensembl:ENSG00000146833|AllianceGenome:HGNC:16275","7","7q22.1","tripartite motif containing 4","protein-coding","TRIM4","tripartite motif containing 4","O","E3 ubiquitin-protein ligase TRIM4|RING finger protein 87|RING-type E3 ubiquitin transferase TRIM4|tripartite motif protein 4",20231105,"-",0.0175133,-0.0197023,0.012666,-0.103601,0.262868,-0.0747928,-0.0886535,-0.277929,0.00193827,0.123769,-0.0674617,-0.0658232
"37526","TRIM40",9606,135644,"-","RNF35","MIM:616976|HGNC:HGNC:18736|Ensembl:ENSG00000204614|AllianceGenome:HGNC:18736","6","6p22.1","tripartite motif containing 40","protein-coding","TRIM40","tripartite motif containing 40","O","E3 ubiquitin ligase TRIM40|RING finger protein 35|probable E3 NEDD8-protein ligase|ring finger RNF35",20231108,"-",0,0,0,0,0,0,0,0,0,0,0.0055832899957183,0.0056121614986689
"37527","TRIM41",9606,90933,"-","RINCK","MIM:610530|HGNC:HGNC:19013|Ensembl:ENSG00000146063|AllianceGenome:HGNC:19013","5","5q35.3","tripartite motif containing 41","protein-coding","TRIM41","tripartite motif containing 41","O","E3 ubiquitin-protein ligase TRIM41|RING finger-interacting protein with C kinase|RING-finger protein that interacts with C kinase|RING-type E3 ubiquitin transferase TRIM41",20231105,"-",-0.115707,-0.0822784999999999,-0.0133003,-0.135601,0.0573859,0.0227932,0.0349509,-0.135088,-0.113817,0.0226425,-0.106062,-0.220038
"37528","TRIM44",9606,54765,"-","AN3|DIPB|HSA249128|MC7","MIM:612298|HGNC:HGNC:19016|Ensembl:ENSG00000166326|AllianceGenome:HGNC:19016","11","11p13","tripartite motif containing 44","protein-coding","TRIM44","tripartite motif containing 44","O","tripartite motif-containing protein 44",20231010,"-",-0.0169217999999999,-0.0425083,0.0190492,-0.0382246,-0.134129,-0.0163554,-0.0365778,0.0961751999999999,-0.0283223999999999,0.0239728,-0.13847,-0.167108
"37529","TRIM45",9606,80263,"-","RNF99","MIM:609318|HGNC:HGNC:19018|Ensembl:ENSG00000134253|AllianceGenome:HGNC:19018","1","1p13.1","tripartite motif containing 45","protein-coding","TRIM45","tripartite motif containing 45","O","E3 ubiquitin-protein ligase TRIM45|ring finger protein 99",20231105,"-",-0.0168795999999999,-0.108905,0.0152738,-0.260724,0.188055,0.205664,0.189211,-0.292278,-0.0915562,0.246788,0.346013,0.254179
"37530","TRIM46",9606,80128,"-","GENEY|TRIFIC","MIM:600986|HGNC:HGNC:19019|Ensembl:ENSG00000163462|AllianceGenome:HGNC:19019","1","1q22","tripartite motif containing 46","protein-coding","TRIM46","tripartite motif containing 46","O","tripartite motif-containing protein 46|gene Y protein|tripartite, fibronectin type-III and C-terminal SPRY motif protein",20231010,"-",-0.107213,-0.251817,-0.126548,-0.173769,0.262083,-0.112546,0.0128771,-0.509411,-0.247871,0.0692566,0.0465106999999999,-0.201522
"37531","TRIM47",9606,91107,"-","GOA|RNF100","MIM:611041|HGNC:HGNC:19020|Ensembl:ENSG00000132481|AllianceGenome:HGNC:19020","17","17q25.1","tripartite motif containing 47","protein-coding","TRIM47","tripartite motif containing 47","O","E3 ubiquitin-protein ligase TRIM47|RING finger protein 100|gene overexpressed in astrocytoma protein|tripartite motif-containing protein 47",20231105,"-",-0.0572781999999999,-0.0416964,-0.104483,0.0354866999999999,-0.0558164,0.104681,0.208039,0.0188027,-0.0263839999999999,-0.0901088999999999,-0.026967,-0.0534279999999999
"37532","TRIM48",9606,79097,"-","RNF101","HGNC:HGNC:19021|Ensembl:ENSG00000150244|AllianceGenome:HGNC:19021","11","11q11","tripartite motif containing 48","protein-coding","TRIM48","tripartite motif containing 48","O","E3 ubiquitin-protein ligase TRIM48|RING finger protein 101|tripartite motif-containing protein 48",20231010,"-",0,0.608235,0,0,-2.89683,0,0,3.50961,0,0,0,0
"37533","TRIM49C",9606,642612,"-","TRIM49L2","HGNC:HGNC:38877|Ensembl:ENSG00000204449|AllianceGenome:HGNC:38877","11","11q14.3","tripartite motif containing 49C","protein-coding","TRIM49C","tripartite motif containing 49C","O","tripartite motif-containing protein 49C|Tripartite motif-containing protein LOC642612|tripartite motif containing 49-like 2|tripartite motif-containing protein 49-like protein 2",20231010,"-",0,0,0,-0.015902717410798,0,0,0,0,0,0.0159379609076576,0,0
"37534","TRIM49D1",9606,399939,"-","TRIM49D|TRIM49D1P|TRIM49D2|TRIM49D2P|TRIM49DP","HGNC:HGNC:43973|Ensembl:ENSG00000223417|AllianceGenome:HGNC:43973","11","11q14.3","tripartite motif containing 49D1","protein-coding","TRIM49D1","tripartite motif containing 49D1","O","tripartite motif-containing protein 49D|tripartite motif containing 49D, pseudogene|tripartite motif containing 49D1, pseudogene|tripartite motif-containing protein 49-like protein|tripartite motif-containing protein 49D1|tripartite motif-containing protein 49D2 pseudogene",20231010,"-",0,0.172998,0,0,-0.0074486039936793,0,0,0.0083277663742507,0,0,0,0
"37535","TRIM5",9606,85363,"-","RNF88|TRIM5alpha","MIM:608487|HGNC:HGNC:16276|Ensembl:ENSG00000132256|AllianceGenome:HGNC:16276","11","11p15.4","tripartite motif containing 5","protein-coding","TRIM5","tripartite motif containing 5","O","tripartite motif-containing protein 5|RING-type E3 ubiquitin transferase TRIM5|ring finger protein 88|tripartite motif protein TRIM5|tripartite motif-containing protein 5 alpha",20231010,"-",0.15218,-0.052832,0.0745678999999999,0.0406744,-0.025146,0.0692673,-0.00650688,-0.0230317999999999,-0.0650908,0.114153,-0.0795153,-0.144623
"37536","TRIM50",9606,135892,"-","TRIM50A","MIM:612548|HGNC:HGNC:19017|Ensembl:ENSG00000146755|AllianceGenome:HGNC:19017","7","7q11.23","tripartite motif containing 50","protein-coding","TRIM50","tripartite motif containing 50","O","E3 ubiquitin-protein ligase TRIM50|RING-type E3 ubiquitin transferase TRIM50|tripartite motif-containing 50A|tripartite motif-containing protein 50",20231105,"-",-0.288726,-0.0131221617619493,-0.556017,0.756523,1.06447,-2.33666,-1.78229,-0.0273145937167416,-1.97445,-1.04246,-0.0070574410849813,-0.0275900504557751
"37537","TRIM51DP",9606,100419945,"-","-","HGNC:HGNC:43969|AllianceGenome:HGNC:43969","11","11p11.12","tripartite motif-containing 51D, pseudogene","pseudo","TRIM51DP","tripartite motif-containing 51D, pseudogene","O","SPRY domain containing 5 pseudogene",20231010,"-",0.0207563507807,0,0,0.0208550402630256,0,0,0,0,0,0,0,0
"37538","TRIM52",9606,84851,"-","RNF102","MIM:619265|HGNC:HGNC:19024|Ensembl:ENSG00000183718|AllianceGenome:HGNC:19024","5","5q35.3","tripartite motif containing 52","protein-coding","TRIM52","tripartite motif containing 52","O","E3 ubiquitin-protein ligase TRIM52|RING finger protein 102|tripartite motif-containing protein 52",20231010,"-",0.0831677,-0.196645,0.0963246,-0.077692,0.0292149,0.0740478999999999,-0.0234377999999999,-0.221069,-0.00185181,0.163541,0.0630219,0.0609274999999999
"37539","TRIM52-AS1",9606,100507602,"-","-","MIM:619266|HGNC:HGNC:49006|Ensembl:ENSG00000248275|AllianceGenome:HGNC:49006","5","5q35.3","TRIM52 antisense RNA 1 (head to head)","ncRNA","TRIM52-AS1","TRIM52 antisense RNA 1 (head to head)","O","CTC-338M12.3",20231010,"-",-0.0233565,0.12894,0.0275680999999999,0.149277,0.197147,0.207884,0.179161,-0.0637199,-0.00929198,-0.169846,0.127904,0.118504
"37540","TRIM53AP",9606,642569,"-","TRIM53|TRIM53P|TRIM80P","HGNC:HGNC:19025|Ensembl:ENSG00000225581|AllianceGenome:HGNC:19025","11","11q14.3","tripartite motif containing 53A, pseudogene","pseudo","TRIM53AP","tripartite motif containing 53A, pseudogene","O","tripartite motif containing 53, pseudogene|tripartite motif-containing 49 pseudogene|tripartite motif-containing 53",20231010,"-",0,0.008084788722077,0,0,0,0,0,0.0081142414341186,0,0,0,0
"37541","TRIM54",9606,57159,"-","MURF|MURF-3|RNF30|muRF3","MIM:606474|HGNC:HGNC:16008|Ensembl:ENSG00000138100|AllianceGenome:HGNC:16008","2","2p23.3","tripartite motif containing 54","protein-coding","TRIM54","tripartite motif containing 54","O","tripartite motif-containing protein 54|muscle-specific RING finger protein 3|ring finger protein 30",20231010,"-",0.0265988,1.01378,-0.588918,-0.282491,1.05332,-0.744964,-0.157106,-0.0361166999999999,0.876191,0.311512,0.127245,1.00192
"37542","TRIM55",9606,84675,"-","MURF-2|RNF29|muRF2","MIM:606469|HGNC:HGNC:14215|Ensembl:ENSG00000147573|AllianceGenome:HGNC:14215","8","8q13.1","tripartite motif containing 55","protein-coding","TRIM55","tripartite motif containing 55","O","tripartite motif-containing protein 55|muscle specific ring finger 2|muscle-specific RING finger protein 2|ring finger protein 29",20231105,"-",0.256173,-0.462585,0.0821809,-0.188859,0.41652,0.0918785,0.00855317,-0.876399,-0.0964184999999999,0.447753,-0.0874909,-0.183962
