gene	cell_line	condition	regulation	p_value	q_value	A549_C36_vs_Veh	A549_E07_vs_C36	A549_E07_vs_Veh	H1975_C36_vs_Veh	H1975_E07_vs_C36	H1975_E07_vs_Veh	H3255_C36_vs_Veh	H3255_E07_vs_C36	H3255_E07_vs_Veh	H820_C36_vs_Veh	H820_E07_vs_C36	H820_E07_vs_Veh
DDO	H1975	E07_vs_Veh	upregulated	0.00065	0.0162741						0.596278						
DDR1-3	A549	E07_vs_C36	upregulated	5e-05	0.00476088		0.568767										
DDR1-3	A549	E07_vs_Veh	upregulated	5e-05	0.00420689			0.5907									
DDR1-3	H1975	C36_vs_Veh	downregulated	5e-05	0.00494068				-0.879639								
DDR1-3	H1975	E07_vs_Veh	downregulated	0.0002	0.00635906						-0.548133						
DDR1-4	A549	E07_vs_C36	downregulated	5e-05	0.00476088		-0.810655										
DDT-2	A549	C36_vs_Veh	upregulated	5e-05	0.00289423	3.60462											
DDT-2	A549	E07_vs_C36	downregulated	5e-05	0.00476088		-3.42052										
DDT-2	H1975	E07_vs_Veh	downregulated	0.0011	0.0237176						-1.5547799999999998						
DDX24	A549	E07_vs_Veh	downregulated	5e-05	0.00420689			-0.736399									
DDX24	H1975	C36_vs_Veh	downregulated	0.0002	0.0169806				-0.7156140000000001								
DDX24	H1975	E07_vs_Veh	downregulated	5e-05	0.00193293						-0.734783						
DDX24	H820	E07_vs_Veh	upregulated	5e-05	0.00304657												0.791482
DDX39B-5	A549	C36_vs_Veh	upregulated	0.00145	0.046976	4.25406											
DDX39B-8	A549	C36_vs_Veh	upregulated	5e-05	0.00289423	1.55421											
DDX39B-8	A549	E07_vs_C36	downregulated	5e-05	0.00476088		-1.28313										
DDX39B-8	H3255	E07_vs_C36	downregulated	0.0009	0.00895661								-0.981907				
DDX51-2	A549	C36_vs_Veh	upregulated	5e-05	0.00289423	1.07027											
DDX51-2	A549	E07_vs_C36	downregulated	5e-05	0.00476088		-1.10163										
DDX52	A549	E07_vs_C36	upregulated	5e-05	0.00476088		0.509674										
DDX52	A549	E07_vs_Veh	upregulated	5e-05	0.00420689			0.564009									
DDX52	H1975	E07_vs_C36	upregulated	5e-05	0.00166321					0.537475							
DDX52-2	A549	C36_vs_Veh	downregulated	5e-05	0.00289423	-1.17511											
DDX52-2	A549	E07_vs_C36	upregulated	5e-05	0.00476088		1.38317										
DDX60	H3255	C36_vs_Veh	upregulated	5e-05	0.00413571							1.49188					
DDX60	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-1.30691				
DDX60L	H3255	E07_vs_C36	downregulated	0.0008	0.00811184								-0.820207				
DEAF1-2	H3255	E07_vs_Veh	upregulated	0.00145	0.0127114									2.24188			
DECR2-2	A549	E07_vs_C36	downregulated	5e-05	0.00476088		-1.55251										
DECR2-2	A549	E07_vs_Veh	downregulated	0.0003	0.021233			-1.3001200000000002									
DECR2-2	H1975	E07_vs_C36	upregulated	0.002	0.0348199					1.62507							
DECR2-2	H1975	E07_vs_Veh	upregulated	0.0016	0.0309951						1.7652						
DEGS2	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								0.809148				
DEGS2	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.795408			
DENND11	H3255	C36_vs_Veh	upregulated	5e-05	0.00413571							0.642871					
DENND11	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								0.830981				
DENND11	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									1.46946			
DENND11	H820	C36_vs_Veh	upregulated	0.0001	0.00528513										0.640051		
DENND11	H820	E07_vs_C36	downregulated	5e-05	0.00471417											-0.924883	
DENND3	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								0.664616				
DENND3	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.632009			
DEPTOR	H1975	E07_vs_C36	upregulated	5e-05	0.00166321					0.535887							
DES	H1975	E07_vs_C36	upregulated	0.00115	0.0227877					0.944278							
DGKG	H3255	E07_vs_Veh	downregulated	0.00185	0.0155386									-0.592262			
DHDH	H3255	E07_vs_C36	upregulated	0.0039	0.0296216								0.659963				
DHRS11	H1975	E07_vs_Veh	downregulated	0.0022	0.0389236						-1.43472						
DHRS3	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								0.508367				
DHRS3	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.540673			
DHRS4-2	H1975	C36_vs_Veh	upregulated	5e-05	0.00494068				1.52401								
DHRS4-2	H1975	E07_vs_C36	downregulated	5e-05	0.00166321					-1.73035							
DHRS4-2	H3255	C36_vs_Veh	upregulated	5e-05	0.00413571							1.59783					
DHRS4-2	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-1.36092				
DHRS4L1	A549	C36_vs_Veh	upregulated	0.0001	0.00520597	1.61784											
DHRS4L1	A549	E07_vs_Veh	upregulated	5e-05	0.00420689			1.7205700000000002									
DHRS4L1	H1975	E07_vs_C36	upregulated	0.00035	0.00888817					1.5422							
DHRS4L2	A549	C36_vs_Veh	downregulated	5e-05	0.00289423	-1.24041											
DHRS4L2	A549	E07_vs_Veh	downregulated	5e-05	0.00420689			-1.22176									
DHRS4L2	H820	E07_vs_Veh	upregulated	0.00115	0.04462												2.23073
DHRS4L2-2	H1975	C36_vs_Veh	downregulated	0.0004	0.0300258				-2.37336								
DHRS4L2-2	H1975	E07_vs_Veh	downregulated	0.00015	0.00493931						-3.20897						
DHRS9	H1975	E07_vs_C36	upregulated	0.00015	0.00441843					0.778767							
DHRSX-2	A549	C36_vs_Veh	upregulated	5e-05	0.00289423	2.09337											
DHRSX-2	H3255	C36_vs_Veh	downregulated	5e-05	0.00413571							-2.67272					
DHRSX-2	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-2.77422			
DHRSX-2	H820	E07_vs_Veh	upregulated	0.00095	0.0381764												1.62205
DHX58	A549	C36_vs_Veh	upregulated	5e-05	0.00289423	0.5475909999999999											
DHX58	H3255	C36_vs_Veh	upregulated	0.00025	0.017217							0.7428859999999999					
DHX58	H3255	E07_vs_C36	downregulated	0.0004	0.00460386								-0.591969				
DKK1	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.676339				
DKK1	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.671115			
DLGAP5	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.5146229999999999			
DLX5	H3255	E07_vs_Veh	upregulated	0.00035	0.00397444									0.7370180000000001			
DMBX1	H820	E07_vs_Veh	downregulated	5e-05	0.00304657												-0.508413
DNAAF3	H3255	E07_vs_C36	upregulated	0.00085	0.00855419								0.523618				
DNAAF3	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.8122520000000001			
DNAH1	A549	E07_vs_Veh	upregulated	0.0002	0.0146587			0.5456489999999999									
DNAH11	H3255	E07_vs_C36	downregulated	0.00095	0.00937885								-0.762625				
DNAH11	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-1.06532			
DNAJA3-2	A549	C36_vs_Veh	downregulated	5e-05	0.00289423	-1.96977											
DNAJA3-2	A549	E07_vs_Veh	downregulated	5e-05	0.00420689			-1.82734									
DNAJA3-2	H1975	E07_vs_Veh	downregulated	5e-05	0.00193293						-0.8133130000000001						
DNAJA3-2	H3255	C36_vs_Veh	downregulated	5e-05	0.00413571							-2.82096					
DNAJA3-2	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								2.14795				
DNAJB12P1	H3255	E07_vs_C36	downregulated	0.0022	0.0185371								-1.17694				
DNAJB12P1	H3255	E07_vs_Veh	downregulated	0.0006	0.00626539									-1.46656			
DNAJC27-AS1	H1975	E07_vs_C36	upregulated	0.00065	0.0145064					0.633283							
DNAJC27-AS1	H1975	E07_vs_Veh	upregulated	5e-05	0.00193293						0.8404459999999999						
DNAJC8-2	A549	C36_vs_Veh	downregulated	0.0001	0.00520597	-0.76779											
DNAJC8-2	A549	E07_vs_C36	upregulated	5e-05	0.00476088		0.776208										
DNAJC8-2	H1975	C36_vs_Veh	upregulated	5e-05	0.00494068				1.37053								
DNAJC8-2	H1975	E07_vs_C36	downregulated	5e-05	0.00166321					-2.75466							
DNAJC8-2	H1975	E07_vs_Veh	downregulated	5e-05	0.00193293						-1.38722						
DNAJC8-2	H3255	C36_vs_Veh	downregulated	5e-05	0.00413571							-0.513808					
DNAJC8-2	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.835415				
DNAJC8-2	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-1.35332			
DOCK3	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								0.5481600000000001				
DPP4	H1975	E07_vs_C36	upregulated	5e-05	0.00166321					0.528759							
DPYD	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.509835				
DPYD	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.52725			
DSTNP2	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								0.526728				
DTX2-2	A549	E07_vs_C36	upregulated	5e-05	0.00476088		1.34615										
DTX2-2	A549	E07_vs_Veh	upregulated	5e-05	0.00420689			1.89789									
DTX2-2	H3255	E07_vs_C36	downregulated	0.0003	0.00361843								-2.24649				
DUSP10	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								0.6622779999999999				
DUSP11-2	A549	C36_vs_Veh	upregulated	5e-05	0.00289423	1.59152											
DUSP11-2	A549	E07_vs_Veh	upregulated	5e-05	0.00420689			1.2827									
DUSP11-2	H1975	E07_vs_C36	downregulated	5e-05	0.00166321					-0.955699							
DUSP11-2	H1975	E07_vs_Veh	downregulated	5e-05	0.00193293						-1.05818						
DUSP11-2	H3255	C36_vs_Veh	downregulated	5e-05	0.00413571							-1.84838					
DUSP11-2	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								1.08489				
DUSP11-2	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.7677649999999999			
DUSP11-2	H820	C36_vs_Veh	upregulated	5e-05	0.00285976										1.11739		
DUSP11-2	H820	E07_vs_Veh	upregulated	5e-05	0.00304657												0.7879189999999999
DUSP2	H1975	E07_vs_Veh	upregulated	5e-05	0.00193293						0.588386						
DUSP5	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-1.32916				
DUSP5	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-1.32589			
DUSP6	H1975	E07_vs_C36	downregulated	5e-05	0.00166321					-0.616241							
DUSP6	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.702393				
DUSP6	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.616161			
DUSP9	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.596258			
DYNC1I1	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-1.31149				
DYNC1I1	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-1.38416			
DYNC1I2-2	A549	C36_vs_Veh	upregulated	5e-05	0.00289423	0.8600780000000001											
DYNC1I2-2	H3255	C36_vs_Veh	downregulated	5e-05	0.00413571							-1.14984					
DYNC1I2-2	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								1.42288				
DYNLL1P1	H3255	E07_vs_C36	downregulated	0.00035	0.00411365								-0.8781209999999999				
DYRK1B	H820	E07_vs_Veh	downregulated	5e-05	0.00304657												-0.659219
DYSF	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.622215				
DYSF	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.6657609999999999			
E2F2-2	H3255	E07_vs_C36	downregulated	0.00075	0.00769694								-0.512047				
EBF4	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								0.6402760000000001				
EBF4	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.600718			
ECEL1P2	H1975	E07_vs_C36	upregulated	0.00045	0.0107417					1.2009							
ECHDC2	H3255	E07_vs_C36	upregulated	0.00055	0.00602866								0.633126				
ECHDC2	H3255	E07_vs_Veh	upregulated	0.00085	0.00832706									0.632421			
EDN1	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.759908				
EDN1	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-1.0012			
EDNRA	H820	C36_vs_Veh	downregulated	5e-05	0.00285976										-0.977101		
EDNRA	H820	E07_vs_Veh	downregulated	5e-05	0.00304657												-0.653931
EEF1A1P16	H1975	E07_vs_C36	downregulated	0.0001	0.00313005					-0.536736							
EEF1A1P29	H1975	C36_vs_Veh	upregulated	0.0001	0.00925397				0.5603899999999999								
EEF1A1P7	H820	C36_vs_Veh	upregulated	5e-05	0.00285976										0.575689		
EEF1B2	A549	E07_vs_C36	downregulated	5e-05	0.00476088		-0.880424										
EEF1B2	H1975	C36_vs_Veh	downregulated	5e-05	0.00494068				-2.1621								
EEF1B2	H1975	E07_vs_C36	upregulated	5e-05	0.00166321					2.61546							
EEF1B2	H3255	C36_vs_Veh	downregulated	5e-05	0.00413571							-0.951958					
EEF1B2	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								1.3570799999999998				
EEF1B2	H820	C36_vs_Veh	downregulated	5e-05	0.00285976										-0.559041		
EEF1B2	H820	E07_vs_C36	upregulated	0.00015	0.0126649											0.500638	
EEF1D	A549	E07_vs_C36	upregulated	5e-05	0.00476088		1.01998										
EEF1D	H1975	C36_vs_Veh	upregulated	5e-05	0.00494068				0.8207549999999999								
EEF1D	H1975	E07_vs_Veh	upregulated	5e-05	0.00193293						1.28712						
EEF1D	H3255	C36_vs_Veh	upregulated	5e-05	0.00413571							2.88808					
EEF1D	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-2.96403				
EEF1D	H820	E07_vs_C36	upregulated	5e-05	0.00471417											1.1949	
EEF1D	H820	E07_vs_Veh	upregulated	5e-05	0.00304657												1.08348
EEF1D-2	A549	E07_vs_Veh	downregulated	0.00035	0.0240494			-1.23289									
EEF1D-2	H1975	C36_vs_Veh	upregulated	5e-05	0.00494068				1.75807								
EEF1D-2	H820	E07_vs_C36	downregulated	0.00025	0.0201078											-0.989919	
EEF1D-2	H820	E07_vs_Veh	downregulated	5e-05	0.00304657												-1.07876
EEF1DP2	H820	E07_vs_C36	downregulated	0.0005	0.0377133											-0.592525	
EEF2K	H820	E07_vs_Veh	upregulated	5e-05	0.00304657												1.26023
EEFSEC-2	A549	C36_vs_Veh	upregulated	5e-05	0.00289423	0.925068											
EEFSEC-2	A549	E07_vs_C36	downregulated	5e-05	0.00476088		-0.687448										
EEFSEC-2	H820	E07_vs_C36	upregulated	5e-05	0.00471417											0.5384869999999999	
EFNB3	H1975	E07_vs_C36	upregulated	5e-05	0.00166321					0.515408							
EFR3B	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								0.654939				
EFR3B	H820	E07_vs_Veh	downregulated	0.0001	0.00551569												-0.5015270000000001
EFS	H3255	E07_vs_Veh	upregulated	0.0018	0.015175									0.590749			
EGLN1	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.6278739999999999			
EGLN3	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-1.07933				
EGLN3	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-1.25593			
EGR1	A549	C36_vs_Veh	upregulated	5e-05	0.00289423	1.1327200000000002											
EGR1	A549	E07_vs_C36	downregulated	5e-05	0.00476088		-0.603426										
EGR1	A549	E07_vs_Veh	upregulated	5e-05	0.00420689			0.529416									
EGR1	H1975	E07_vs_C36	downregulated	5e-05	0.00166321					-0.654996							
EGR1	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.954839				
EGR1	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.7340399999999999			
EGR1	H820	E07_vs_C36	downregulated	5e-05	0.00471417											-1.03173	
EGR1	H820	E07_vs_Veh	downregulated	5e-05	0.00304657												-1.09608
EGR2	A549	C36_vs_Veh	upregulated	0.0008	0.0294311	1.22829											
EGR3	H1975	E07_vs_C36	downregulated	5e-05	0.00166321					-0.711377							
EGR3	H1975	E07_vs_Veh	downregulated	5e-05	0.00193293						-0.80369						
EGR3	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-2.01007				
EGR4	A549	C36_vs_Veh	upregulated	5e-05	0.00289423	1.55999											
EGR4	A549	E07_vs_C36	downregulated	5e-05	0.00476088		-0.914606										
EHMT2-5	H3255	E07_vs_Veh	downregulated	0.00015	0.00192713									-0.537511			
EHMT2-5	H820	C36_vs_Veh	downregulated	0.0001	0.00528513										-0.73138		
EHMT2-5	H820	E07_vs_C36	upregulated	5e-05	0.00471417											0.710389	
EIF1AXP1-2	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.537858				
EIF1P3	H3255	E07_vs_Veh	downregulated	0.0046	0.0317926									-0.781848			
EIF3C	A549	E07_vs_C36	upregulated	5e-05	0.00476088		0.680118										
EIF3C	A549	E07_vs_Veh	upregulated	5e-05	0.00420689			0.616146									
EIF3C	H1975	E07_vs_C36	upregulated	5e-05	0.00166321					0.970993							
EIF3C	H1975	E07_vs_Veh	upregulated	5e-05	0.00193293						0.5488						
EIF3C	H3255	C36_vs_Veh	downregulated	5e-05	0.00413571							-1.2819200000000002					
EIF3C	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.802808			
EIF3C	H820	C36_vs_Veh	upregulated	5e-05	0.00285976										0.733737		
EIF3C	H820	E07_vs_Veh	upregulated	5e-05	0.00304657												0.5835319999999999
EIF3CL	A549	C36_vs_Veh	downregulated	5e-05	0.00289423	-2.75733											
EIF3CL	A549	E07_vs_C36	upregulated	5e-05	0.00476088		2.35986										
EIF3CL	H1975	C36_vs_Veh	upregulated	5e-05	0.00494068				0.605197								
EIF3CL	H1975	E07_vs_C36	downregulated	5e-05	0.00166321					-1.77439							
EIF3CL	H1975	E07_vs_Veh	downregulated	5e-05	0.00193293						-1.17077						
EIF3CL	H3255	C36_vs_Veh	upregulated	0.00025	0.017217							0.6133850000000001					
EIF3CL	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								2.46856				
EIF3CL	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									3.07803			
EIF3CL	H820	C36_vs_Veh	downregulated	5e-05	0.00285976										-2.89656		
EIF3CL	H820	E07_vs_C36	upregulated	5e-05	0.00471417											1.98744	
EIF3CL	H820	E07_vs_Veh	downregulated	5e-05	0.00304657												-0.908184
EIF3JP2	H3255	E07_vs_Veh	downregulated	0.0045	0.0313201									-1.11178			
EIF3K-2	A549	C36_vs_Veh	upregulated	5e-05	0.00289423	0.524249											
EIF3K-2	A549	E07_vs_C36	downregulated	5e-05	0.00476088		-3.97783										
EIF3K-2	A549	E07_vs_Veh	downregulated	5e-05	0.00420689			-3.4547800000000004									
EIF3K-2	H1975	C36_vs_Veh	upregulated	0.0003	0.0240688				0.585221								
EIF3K-2	H1975	E07_vs_C36	upregulated	5e-05	0.00166321					0.902636							
EIF3K-2	H1975	E07_vs_Veh	upregulated	5e-05	0.00193293						1.4864700000000002						
EIF3K-2	H3255	C36_vs_Veh	downregulated	5e-05	0.00413571							-1.14099					
EIF3K-2	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-1.0628			
EIF3K-2	H820	C36_vs_Veh	downregulated	5e-05	0.00285976										-2.20688		
EIF3K-2	H820	E07_vs_C36	upregulated	5e-05	0.00471417											3.14125	
EIF3K-2	H820	E07_vs_Veh	upregulated	5e-05	0.00304657												0.936669
EIF4A1P7	H1975	E07_vs_C36	downregulated	0.0002	0.00562605					-0.5152770000000001							
EIF4A1P7	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.923213				
EIF4A1P7	H3255	E07_vs_Veh	downregulated	0.00315	0.0237615									-0.533297			
EIF4A1P7	H820	E07_vs_C36	downregulated	0.0007	0.0484886											-0.540844	
EIF4A3-2	A549	E07_vs_C36	upregulated	5e-05	0.00476088		0.8512049999999999										
EIF4A3-2	A549	E07_vs_Veh	upregulated	5e-05	0.00420689			0.968815									
EIF4A3-2	H1975	C36_vs_Veh	upregulated	5e-05	0.00494068				0.665609								
EIF4A3-2	H1975	E07_vs_C36	downregulated	5e-05	0.00166321					-0.679517							
EIF4A3-2	H3255	C36_vs_Veh	downregulated	5e-05	0.00413571							-2.70353					
EIF4A3-2	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								3.86747				
EIF4A3-2	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									1.15911			
EIF4A3-2	H820	E07_vs_C36	upregulated	5e-05	0.00471417											1.09473	
EIF4A3-2	H820	E07_vs_Veh	upregulated	5e-05	0.00304657												1.0835
EIF5A-2	A549	C36_vs_Veh	downregulated	5e-05	0.00289423	-0.723064											
EIF5A-2	A549	E07_vs_Veh	downregulated	5e-05	0.00420689			-1.04986									
EIF5A-2	H1975	C36_vs_Veh	upregulated	5e-05	0.00494068				0.512147								
EIF5A-2	H820	C36_vs_Veh	downregulated	5e-05	0.00285976										-1.64357		
EIF5A-2	H820	E07_vs_C36	upregulated	5e-05	0.00471417											0.859917	
EIF5A-2	H820	E07_vs_Veh	downregulated	5e-05	0.00304657												-0.782714
ELF5	H3255	E07_vs_C36	upregulated	0.00025	0.00310849								0.685055				
ELF5	H3255	E07_vs_Veh	upregulated	0.0007	0.0071127									0.691276			
ELN	A549	C36_vs_Veh	downregulated	0.0001	0.00520597	-0.723694											
ELN	A549	E07_vs_Veh	downregulated	0.0007	0.0413753			-0.6213420000000001									
ELOVL3	H3255	E07_vs_Veh	upregulated	0.00165	0.014098									0.758727			
EMC9	A549	C36_vs_Veh	downregulated	5e-05	0.00289423	-0.8823709999999999											
EMC9	A549	E07_vs_Veh	downregulated	0.0004	0.0269241			-0.793096									
EMC9	H1975	E07_vs_C36	upregulated	5e-05	0.00166321					1.06024							
EMC9	H3255	E07_vs_C36	upregulated	0.00025	0.00310849								1.14219				
EMC9	H3255	E07_vs_Veh	upregulated	0.0002	0.00247709									1.0036200000000002			
EMC9	H820	E07_vs_C36	downregulated	0.0001	0.00897937											-1.72271	
EMC9	H820	E07_vs_Veh	downregulated	0.00055	0.024049												-1.48367
EMID1	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.505742			
EML1	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								0.928167				
EML1	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.734692			
ENC1	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.550467				
ENG	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.986962				
ENG	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-1.02628			
ENO1	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.572286			
ENO1P1	H1975	E07_vs_C36	downregulated	5e-05	0.00166321					-0.572214							
ENO1P1	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.718885				
ENPP7P7	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								0.629872				
ENPP7P7	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.602286			
ENTREP1	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								0.6719350000000001				
ENTREP1	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.603427			
ENTREP3-2	H1975	C36_vs_Veh	downregulated	5e-05	0.00494068				-1.08833								
ENTREP3-2	H1975	E07_vs_Veh	downregulated	5e-05	0.00193293						-0.991209						
ENTREP3-2	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.744908				
ENTREP3-2	H3255	E07_vs_Veh	downregulated	0.0005	0.00533008									-0.6252260000000001			
ENTREP3-2	H820	C36_vs_Veh	downregulated	5e-05	0.00285976										-0.672607		
ENTREP3-2	H820	E07_vs_C36	upregulated	5e-05	0.00471417											0.609462	
EPB41L1	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								0.590166				
EPB41L1	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.552932			
EPB41L4A	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								0.71406				
EPB41L4A	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.555451			
EPCAM-DT	H1975	E07_vs_C36	upregulated	0.00065	0.0145064					1.17815							
EPGN	H3255	E07_vs_C36	downregulated	0.00065	0.00691301								-0.956054				
EPGN	H3255	E07_vs_Veh	downregulated	0.0006	0.00626539									-0.893591			
EPHA1	H1975	C36_vs_Veh	downregulated	5e-05	0.00494068				-0.835125								
EPHA1	H3255	C36_vs_Veh	upregulated	5e-05	0.00413571							1.08748					
EPHA1	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									1.51091			
EPHA2	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.673945				
EPHA2	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.573792			
EPHA7	H3255	E07_vs_C36	upregulated	5e-05	0.0007711689999999								1.07957				
EPHA7	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.954973			
EPHB6	H1975	E07_vs_Veh	upregulated	0.0028	0.0462738						0.544063						
EPHX2	H3255	E07_vs_C36	upregulated	0.0008	0.00811184								0.929589				
EPHX2	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									1.26365			
EPHX2	H820	C36_vs_Veh	downregulated	0.00065	0.0263487										-0.654419		
EREG	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-2.09702				
EREG	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-2.05561			
ERI1	H820	C36_vs_Veh	upregulated	5e-05	0.00285976										2.21476		
ERI1	H820	E07_vs_C36	downregulated	5e-05	0.00471417											-2.75683	
ERI1-2	H3255	E07_vs_Veh	downregulated	0.00095	0.0090711									-0.5705819999999999			
ERO1A	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.626512			
ERRFI1	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.625476				
ERRFI1	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.603495			
ESM1	H3255	C36_vs_Veh	downregulated	0.00035	0.0230867							-0.665573					
ESM1	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-2.18216				
ESM1	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-2.85244			
ESPL1	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.5038199999999999			
ETS1	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.510608			
ETV1	H1975	E07_vs_C36	downregulated	5e-05	0.00166321					-0.54723							
ETV1	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.66996				
ETV1	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.621708			
ETV1	H820	C36_vs_Veh	downregulated	5e-05	0.00285976										-0.7247939999999999		
ETV1	H820	E07_vs_Veh	downregulated	5e-05	0.00304657												-1.14057
ETV3	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.554053			
ETV4	H1975	E07_vs_C36	downregulated	0.0012	0.0234859					-0.645173							
ETV5	H820	E07_vs_C36	downregulated	5e-05	0.00471417											-0.5201979999999999	
ETV5	H820	E07_vs_Veh	downregulated	5e-05	0.00304657												-0.503941
ETV7	A549	C36_vs_Veh	upregulated	5e-05	0.00289423	0.749171											
ETV7	A549	E07_vs_Veh	upregulated	5e-05	0.00420689			0.8217780000000001									
EVI2A-2	H1975	E07_vs_C36	upregulated	5e-05	0.00166321					0.918495							
F3	H1975	E07_vs_Veh	downregulated	5e-05	0.00193293						-0.529663						
F3	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-1.00389				
F3	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-1.25917			
