gene	cell_line	condition	regulation	p_value	q_value	A549_C36_vs_Veh	A549_E07_vs_C36	A549_E07_vs_Veh	H1975_C36_vs_Veh	H1975_E07_vs_C36	H1975_E07_vs_Veh	H3255_C36_vs_Veh	H3255_E07_vs_C36	H3255_E07_vs_Veh	H820_C36_vs_Veh	H820_E07_vs_C36	H820_E07_vs_Veh
ACTG1	H3255	E07_vs_Veh	upregulated	5e-05	0.000732024									0.752228			
ACTG1-2	A549	C36_vs_Veh	upregulated	5e-05	0.00289423	1.75833											
ACTG1-2	A549	E07_vs_C36	downregulated	5e-05	0.00476088		-1.22711										
ACTG1-2	H1975	C36_vs_Veh	upregulated	0.0006	0.043725				2.59803								
ACTG1-2	H1975	E07_vs_C36	upregulated	5e-05	0.00166321					2.91477							
ACTG1-2	H1975	E07_vs_Veh	upregulated	5e-05	0.00193293						5.50893						
ACTG1-2	H3255	E07_vs_C36	upregulated	0.0002	0.00257015								2.51068				
ACTG1-2	H3255	E07_vs_Veh	upregulated	0.0006	0.00626539									1.1997799999999998			
ACTG1-2	H820	C36_vs_Veh	downregulated	5e-05	0.00285976										-1.54847		
ACTG1-2	H820	E07_vs_C36	upregulated	5e-05	0.00471417											2.67726	
ACTG1-2	H820	E07_vs_Veh	upregulated	5e-05	0.00304657												1.13011
ACTN1	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.507894				
ACTN1	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-0.594956			
ACTN4-2	A549	E07_vs_C36	upregulated	5e-05	0.00476088		1.08175										
ACTN4-2	A549	E07_vs_Veh	upregulated	5e-05	0.00420689			0.82967									
ACTN4-2	H1975	C36_vs_Veh	upregulated	5e-05	0.00494068				0.550177								
ACTN4-2	H1975	E07_vs_C36	downregulated	5e-05	0.00166321					-0.6391100000000001							
ACTN4-2	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-1.1994200000000002				
ACTN4-2	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-1.18592			
ACTN4-2	H820	C36_vs_Veh	downregulated	5e-05	0.00285976										-1.06687		
ACTN4-2	H820	E07_vs_Veh	downregulated	5e-05	0.00304657												-1.41923
ACTR1B-2	A549	C36_vs_Veh	downregulated	5e-05	0.00289423	-0.846269											
ACTR1B-2	A549	E07_vs_Veh	downregulated	5e-05	0.00420689			-0.863798									
ACTR1B-2	H1975	C36_vs_Veh	downregulated	5e-05	0.00494068				-1.4761								
ACTR1B-2	H1975	E07_vs_C36	upregulated	5e-05	0.00166321					1.50146							
ACTR1B-2	H3255	C36_vs_Veh	downregulated	0.0008	0.0451495							-0.666492					
ACTR1B-2	H3255	E07_vs_C36	downregulated	0.0064	0.0433724								-0.6231979999999999				
ACTR1B-2	H3255	E07_vs_Veh	downregulated	5e-05	0.000732024									-1.2941			
ACTR1B-2	H820	C36_vs_Veh	downregulated	5e-05	0.00285976										-0.852058		
ACTR1B-2	H820	E07_vs_C36	downregulated	5e-05	0.00471417											-1.94583	
ACTR1B-2	H820	E07_vs_Veh	downregulated	5e-05	0.00304657												-2.79748
ACY3	H1975	C36_vs_Veh	downregulated	5e-05	0.00494068				-1.21465								
ACY3	H1975	E07_vs_C36	upregulated	0.0013	0.0249409					0.950004							
ACYP2	H3255	E07_vs_C36	upregulated	0.00015	0.00200108								0.559804				
ADA	H1975	E07_vs_C36	upregulated	5e-05	0.00166321					0.565873							
ADAM8	H1975	E07_vs_C36	downregulated	5e-05	0.00166321					-0.581186							
ADAM8	H1975	E07_vs_Veh	downregulated	5e-05	0.00193293						-0.50166						
ADAM8	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.521907				
ADAMTS6	H3255	E07_vs_C36	downregulated	5e-05	0.0007711689999999								-0.8147979999999999				
