gene,H1975_Veh_vs_H1975_C36,H3255_Veh_vs_H3255_C36,H820_Veh_vs_H820_E07,H1975_Veh_vs_H1975_E07,H3255_E07_vs_H3255_C36,H820_Veh_vs_H820_C36,H820_E07_vs_H820_C36,H3255_Veh_vs_H3255_E07,A549_E07_vs_A549_C36,H1975_E07_vs_H1975_C36,A549_Veh_vs_A549_E07,A549_Veh_vs_A549_C36
DNAH14,-0.0770573,-0.23167,-0.199234,0.1122789999999999,-0.351218,-0.173773,0.0242632999999999,0.124054,0.0792295,-0.1867339999999999,-0.137725,-0.0587454
DNAH17,0.1806829999999999,0.568249,0.720333,0.16252,-0.413448,0.27772800000000003,-0.44391800000000003,0.9859,-0.0427964999999999,0.0206372999999999,-0.500973,-0.543957
DNAH17-AS1,0.112917,0.465632,0.740768,-0.643274,-0.176228,0.0080483772805262,0.0048490641137282,0.647567,-0.748815,0.758663,0.384673,-0.3643639999999999
DNAH2,0.1188369999999999,0.28233600000000003,-0.08656060000000002,-0.199822,0.0317973,0.0235484,0.108946,0.255128,-2.49946,0.321297,0.9623959999999999,-1.53766
DNAH3,-0.24304800000000001,0.410779,0.135562,-0.242668,0.4319,0.320725,0.183919,-0.0166940999999999,-0.0679875,0.00212917,-0.426967,-0.49516000000000004
DNAH5,0.23212800000000003,0.269411,-0.152162,0.13567200000000001,0.39376700000000003,-0.05700840000000001,0.0939917,-0.119649,0.0649649,0.09916760000000001,0.0316248,0.096438
DNAH6,-0.010634200000000002,-0.29034,0.134499,-0.726888,-0.25083,0.0438212,-0.0917684999999999,-0.0346119,0.07137760000000001,0.7190810000000001,0.0643552,0.1351359999999999
DNAH7,0.9060590000000001,0.106332,0.360658,-0.112409,0.250747,0.891523,0.5298470000000001,-0.139214,-0.113044,1.0199799999999999,0.155792,0.04303680000000001
DNAH8,-0.001671821430039,0.492018,-1.4568299999999998,0.0,-1.45141,0.0016403347079413,0.0045257263849475,1.9480099999999998,-0.0010185264415683,-0.0016791706346776,0.0,-0.0010134560550926
DNAH9,2.3738599999999996,0.216892,-0.004778176164232001,1.1515799999999998,-0.0036871840927297,-0.0054780887901970015,-0.208051,0.0042492104732687,-1.24672,1.22682,-1.03235,-2.28136
DNAI1,0.48125100000000004,-1.37499,-0.0255574258659173,-0.802816,0.990351,-0.0263483808431659,-0.0543978,-2.36157,-3.52213,1.28655,2.21223,-1.30831
DNAI2,0.0138104656054455,0.0,-0.0111520418559229,0.0138698229867242,0.0,0.0,0.011137368024892,0.0,-0.0074426332762936,0.0,0.0078302050057095,0.0854977
DNAI3,0.784718,0.062497500000000004,0.183568,1.30564,0.00182588,0.401845,0.21679600000000002,0.0648673,0.159999,-0.519197,-0.590329,-0.431138
DNAI4,0.394732,-0.0103531,0.213621,-0.5153270000000001,0.315826,0.295573,0.0807172,-0.321475,0.548204,0.9125780000000001,-0.4577739999999999,0.08965830000000001
DNAI7,-0.224911,0.25372,0.504046,-0.439999,1.16222,0.405449,-0.0997305,-0.9032680000000001,0.595923,0.21725,0.0127411,0.60821
